Player,Primary_Archetype,Secondary_Archetype
Luka Dončić,Scorer,Versatile_Forward
Shai Gilgeous-Alexander,Scorer,Versatile_Forward
Jaylen Brown,Scorer,Versatile_Forward
Kevin Durant,Scorer,Versatile_Forward
Tyrese Maxey,Scorer,Versatile_Forward
Donovan Mitchell,Scorer,Versatile_Forward
Jalen Brunson,Scorer,Ball_Handler
Jamal Murray,Scorer,Versatile_Forward
Kawhi Leonard,Scorer,Versatile_Forward
Nikola Jokić,Versatile_Forward,Scorer
Anthony Edwards,Scorer,Versatile_Forward
Devin Booker,Scorer,Ball_Handler
Julius Randle,Versatile_Forward,Scorer
Brandon Ingram,Scorer,Versatile_Forward
James Harden,Scorer,Versatile_Forward
Desmond Bane,Scorer,Versatile_Forward
Nickeil Alexander-Walker,Scorer,Versatile_Forward
Jalen Johnson,Versatile_Forward,Scorer
Victor Wembanyama,Versatile_Forward,Scorer
Paolo Banchero,Versatile_Forward,Scorer
Deni Avdija,Scorer,Versatile_Forward
Cade Cunningham,Versatile_Forward,Scorer
Karl-Anthony Towns,Versatile_Forward,Slasher
Kon Knueppel,Scorer,Versatile_Forward
Pascal Siakam,Scorer,Versatile_Forward
Cooper Flagg,Scorer,Versatile_Forward
Bam Adebayo,Versatile_Forward,Scorer
Alperen Sengun,Versatile_Forward,Scorer
Scottie Barnes,Versatile_Forward,Scorer
LaMelo Ball,Scorer,Versatile_Forward
Amen Thompson,Versatile_Forward,Scorer
CJ McCollum,Scorer,Versatile_Forward
Trey Murphy III,Scorer,Versatile_Forward
DeMar DeRozan,Scorer,Versatile_Forward
Jalen Duren,Versatile_Forward,Scorer
Payton Pritchard,Scorer,Versatile_Forward
De'Aaron Fox,Scorer,Versatile_Forward
Miles Bridges,Scorer,Versatile_Forward
Brandon Miller,Scorer,Versatile_Forward
Zion Williamson,Scorer,Versatile_Forward
Ryan Rollins,Versatile_Forward,Scorer
Keyonte George,Scorer,Versatile_Forward
Saddiq Bey,Scorer,Versatile_Forward
Derrick White,Versatile_Forward,Scorer
Norman Powell,Scorer,Versatile_Forward
Michael Porter Jr.,Scorer,Versatile_Forward
LeBron James,Versatile_Forward,Scorer
Matas Buzelis,Scorer,Versatile_Forward
Jabari Smith Jr.,Versatile_Forward,Scorer
VJ Edgecombe,Versatile_Forward,Scorer
Austin Reaves,Scorer,Versatile_Forward
Chet Holmgren,Versatile_Forward,Scorer
Mikal Bridges,Scorer,Versatile_Forward
Evan Mobley,Versatile_Forward,Scorer
Jeremiah Fears,Scorer,Versatile_Forward
Jaime Jaquez Jr.,Versatile_Forward,Scorer
Immanuel Quickley,Versatile_Forward,Scorer
Stephen Curry,Scorer,Versatile_Forward
Brandin Podziemski,Versatile_Forward,Scorer
Stephon Castle,Versatile_Forward,Ball_Handler
Dillon Brooks,Scorer,Versatile_Forward
Naji Marshall,Scorer,Versatile_Forward
Lauri Markkanen,Scorer,Versatile_Forward
Onyeka Okongwu,Versatile_Forward,Slasher
OG Anunoby,Scorer,Versatile_Forward
Brice Sensabaugh,Scorer,Versatile_Forward
Reed Sheppard,Scorer,Versatile_Forward
Toumani Camara,Versatile_Forward,Scorer
RJ Barrett,Scorer,Versatile_Forward
Jaden McDaniels,Scorer,Versatile_Forward
Keldon Johnson,Scorer,Versatile_Forward
Tim Hardaway Jr.,Scorer,Versatile_Forward
Jerami Grant,Scorer,Versatile_Forward
Collin Sexton,Scorer,Versatile_Forward
Naz Reid,Versatile_Forward,Scorer
Andrew Wiggins,Scorer,Versatile_Forward
Shaedon Sharpe,Scorer,Versatile_Forward
Ayo Dosunmu,Scorer,Versatile_Forward
Joel Embiid,Scorer,Versatile_Forward
Collin Gillespie,Versatile_Forward,Scorer
Quentin Grimes,Scorer,Versatile_Forward
Donte DiVincenzo,Versatile_Forward,Scorer
Ace Bailey,Scorer,Versatile_Forward
Giannis Antetokounmpo,Scorer,Versatile_Forward
Russell Westbrook,Versatile_Forward,Ball_Handler
Andrew Nembhard,Ball_Handler,Scorer
Nikola Vučević,Versatile_Forward,Scorer
Anthony Black,Scorer,Versatile_Forward
Bennedict Mathurin,Scorer,Versatile_Forward
Derik Queen,Versatile_Forward,Slasher
Max Christie,Scorer,Versatile_Forward
Duncan Robinson,Scorer,Versatile_Forward
John Collins,Scorer,Versatile_Forward
Donovan Clingan,Versatile_Forward,Slasher
Devin Vassell,Scorer,Versatile_Forward
Jaren Jackson Jr.,Scorer,Versatile_Forward
Maxime Raynaud,Versatile_Forward,Slasher
Wendell Carter Jr.,Versatile_Forward,Slasher
Josh Giddey,Versatile_Forward,Ball_Handler
Bobby Portis,Versatile_Forward,Scorer
Tre Jones,Versatile_Forward,Scorer
Julian Champagnie,Versatile_Forward,Slasher
Dyson Daniels,Versatile_Forward,Slasher
Deandre Ayton,Versatile_Forward,Slasher
Kyle Kuzma,Versatile_Forward,Scorer
Sandro Mamukelashvili,Versatile_Forward,Scorer
Jarace Walker,Versatile_Forward,Scorer
Kyle Filipowski,Versatile_Forward,Slasher
Bub Carrington,Versatile_Forward,Ball_Handler
Jaylon Tyson,Versatile_Forward,Scorer
Coby White,Scorer,Versatile_Forward
Jaylen Wells,Scorer,Versatile_Forward
Jrue Holiday,Versatile_Forward,Scorer
Jarrett Allen,Versatile_Forward,Slasher
Brandon Williams,Scorer,Versatile_Forward
Kel'el Ware,Versatile_Forward,Slasher
Myles Turner,Versatile_Forward,Scorer
Darius Garland,Scorer,Ball_Handler
Cedric Coward,Versatile_Forward,Scorer
Grayson Allen,Scorer,Versatile_Forward
Tobias Harris,Versatile_Forward,Scorer
Rudy Gobert,Versatile_Forward,Slasher
Dylan Harper,Versatile_Forward,Scorer
Klay Thompson,Scorer,Versatile_Forward
Nic Claxton,Versatile_Forward,Slasher
AJ Green,Scorer,Versatile_Forward
Noah Clowney,Scorer,Versatile_Forward
Pelle Larsson,Versatile_Forward,Scorer
Cam Spencer,Ball_Handler,Versatile_Forward
P.J. Washington,Versatile_Forward,Scorer
Josh Hart,Versatile_Forward,Slasher
Peyton Watson,Scorer,Versatile_Forward
Jalen Suggs,Versatile_Forward,Scorer
Anfernee Simons,Scorer,Versatile_Forward
Isaiah Joe,Scorer,Versatile_Forward
Alex Sarr,Versatile_Forward,Scorer
Jay Huff,Versatile_Forward,Scorer
Rui Hachimura,Scorer,Versatile_Forward
Neemias Queta,Versatile_Forward,Slasher
Ajay Mitchell,Scorer,Versatile_Forward
Malik Monk,Scorer,Versatile_Forward
Harrison Barnes,Scorer,Versatile_Forward
Royce O'Neale,Versatile_Forward,Slasher
Will Riley,Scorer,Versatile_Forward
Tristan da Silva,Versatile_Forward,Scorer
Jimmy Butler III,Scorer,Versatile_Forward
Dennis Schröder,Versatile_Forward,Ball_Handler
Zach LaVine,Scorer,Versatile_Forward
Precious Achiuwa,Versatile_Forward,Slasher
Tre Johnson,Scorer,Versatile_Forward
Moses Moody,Scorer,Versatile_Forward
Ausar Thompson,Versatile_Forward,Slasher
Sam Hauser,Versatile_Forward,Scorer
Jock Landale,Versatile_Forward,Scorer
Kyshawn George,Versatile_Forward,Scorer
Kelly Oubre Jr.,Scorer,Versatile_Forward
Mark Williams,Versatile_Forward,Slasher
Franz Wagner,Scorer,Versatile_Forward
Kevin Huerter,Versatile_Forward,Scorer
Isaiah Collier,Ball_Handler,Versatile_Forward
GG Jackson,Scorer,Versatile_Forward
Ivica Zubac,Versatile_Forward,Slasher
Tyler Herro,Scorer,Versatile_Forward
Jake LaRavia,Versatile_Forward,Slasher
Daniss Jenkins,Versatile_Forward,Scorer
Sam Merrill,Scorer,Versatile_Forward
Kevin Porter Jr.,Versatile_Forward,Scorer
Cameron Johnson,Scorer,Versatile_Forward
Cason Wallace,Versatile_Forward,Slasher
Bilal Coulibaly,Versatile_Forward,Scorer
Davion Mitchell,Versatile_Forward,Ball_Handler
Luke Kennard,Scorer,Versatile_Forward
Bruce Brown,Versatile_Forward,Slasher
Nique Clifford,Versatile_Forward,Scorer
Paul George,Scorer,Versatile_Forward
Zaccharie Risacher,Versatile_Forward,Scorer
Khris Middleton,Versatile_Forward,Scorer
Ronald Holland II,Versatile_Forward,Slasher
Brook Lopez,Versatile_Forward,Scorer
Marvin Bagley III,Versatile_Forward,Slasher
Tari Eason,Versatile_Forward,Slasher
Gui Santos,Versatile_Forward,Scorer
Jordan Clarkson,Scorer,Versatile_Forward
Aaron Nesmith,Scorer,Versatile_Forward
De'Andre Hunter,Scorer,Versatile_Forward
Aaron Wiggins,Versatile_Forward,Scorer
Jordan Goodwin,Versatile_Forward,Slasher
Bones Hyland,Scorer,Versatile_Forward
De'Anthony Melton,Scorer,Versatile_Forward
Santi Aldama,Versatile_Forward,Scorer
Jordan Miller,Scorer,Versatile_Forward
Justin Champagnie,Versatile_Forward,Slasher
Simone Fontecchio,Scorer,Versatile_Forward
Kris Dunn,Versatile_Forward,Slasher
Cody Williams,Versatile_Forward,Scorer
Isaac Okoro,Scorer,Versatile_Forward
Aaron Gordon,Scorer,Versatile_Forward
Isaiah Stewart,Versatile_Forward,Scorer
Marcus Smart,Versatile_Forward,Scorer
Luguentz Dort,Versatile_Forward,Scorer
Moussa Diabaté,Versatile_Forward,Slasher
Ziaire Williams,Scorer,Slasher
